,ticker,datain,datafim,acao,valor_maximo_ticker,data_valor_maximo,valor_minimo_ticker,data_valor_minimo,valor_atual_ticker,valor_atual_total,quantidade,paguei,investi,data,lucro_prej,lucro_prej_max,lucro_prej_min
0,RAIL3.SA,2021-01-01,2024-04-20 12:26:33.168892,yfinance.Ticker object <RAIL3.SA>,24.549999237060547,null,14.720000267028809,null,null,57,57,"1,55",1590,1/1/2021,-1533,-190.65004348754883,-750.9599847793579
1,B3SA3.SA,2015-05-14,2024-04-20 12:26:33.246288,yfinance.Ticker object <B3SA3.SA>,23.25,null,3.166666030883789,null,null,1000,1000,"11,80",11800,14/5/2015,-10800,11450.0,-8633.333969116211
2,CSUD3.SA,2015-05-14,2024-04-20 12:26:33.453663,yfinance.Ticker object <CSUD3.SA>,28.979999542236328,null,2.440000057220459,null,null,3000,3000,"8,60",25800,14/5/2015,-22800,61139.998626708984,-18479.999828338623
3,CMIG4.SA,2015-05-14,2024-04-20 12:26:33.576479,yfinance.Ticker object <CMIG4.SA>,13.630000114440918,null,2.6336801052093506,null,null,1418,1418,"28,50",40413,14/5/2015,-38995,-21085.65983772278,-36678.44161081314
4,ENBR3.SA,2015-05-14,2024-04-20 12:26:33.710738,yfinance.Ticker object <ENBR3.SA>,,null,,null,null,1200,1200,"31,71",38052,14/5/2015,-36852,,
5,PETR4.SA,2015-05-14,2024-04-20 12:26:33.734713,yfinance.Ticker object <PETR4.SA>,42.939998626708984,null,4.119999885559082,null,null,250,250,"37,00",9250,14/5/2015,-9000,1484.999656677246,-8220.00002861023
6,SHUL4.SA,2015-05-14,2024-04-20 12:26:33.852956,yfinance.Ticker object <SHUL4.SA>,8.149999618530273,null,0.45357099175453186,null,null,1400,1400,"16,50",23100,14/5/2015,-21700,-11690.000534057617,-22465.000611543655
7,VALE3.SA,2019-01-26,2024-04-20 12:26:33.977088,yfinance.Ticker object <VALE3.SA>,120.44999694824219,null,32.45000076293945,null,null,100,100,"46,00",4600,26/1/2019,-4500,7444.999694824219,-1354.9999237060547
