Ticker,Dt_Maior_MM_15,Maior_MM_15,Dt_Menor_MM_15,Menor_MM_15,Maior_Val_Periodo,Dt_Maior_Val_Periodo,Menor_Val_Periodo,Dt_Menor_Val_Periodo,Lucro_Prejuizo
RAIL3.SA,2020-08-06,21.639777374267577,2015-01-22,3.1233329931894938,22.466665267944336,2019-04-03,2.990000009536743,2015-02-11,8.34000015258789
B3SA3.SA,,10.021640841166178,2016-01-27,2.293064022064209,10.520000457763672,2024-05-03,2.119791030883789,2016-01-19,4.1052141189575195
CSUD3.SA,2021-05-12,25.978666687011717,2016-02-10,2.5986666520436605,27.399999618530277,2018-01-12,2.5,2015-06-23,15.12000036239624
CMIG4.SA,2024-02-27,42.09399998982747,2016-02-12,4.487999947865804,42.900001525878906,2015-11-04,4.199999809265137,2016-01-26,30.800000190734863
PETR4.SA,2020-01-14,25.854000091552734,2016-02-12,1.9166666666666667,26.8700008392334,2015-08-28,1.5,2016-01-22,3.5999984741210938
SHUL4.SA,2023-10-27,7.6800000190734865,2016-02-26,0.4908328652381897,8.079999923706055,2023-10-24,0.4660710096359253,2016-03-16,5.268928825855255
VALE3.SA,2021-07-29,114.70733439127604,2016-02-03,9.199333381652831,118.72000122070312,2016-11-10,8.600000381469727,2016-02-02,42.89999961853027
