Date,Close,High,Low,Open,Volume
2009-01-02,1.0696226358413696,1.0914516479832463,0.9866722856132972,1.0914516479832463,6500
2009-01-05,1.1307438611984253,1.3010103627819112,1.0870858372482697,1.0870858372482697,567800
2009-01-06,1.178767442703247,1.266083568845878,1.1613042382925025,1.2398886581408526,29300
2009-01-07,1.178767442703247,1.2005964482166775,1.135109327587477,1.135109327587477,22100
2009-01-08,1.1831337213516235,1.2180601442703884,1.1351097857493708,1.178767918486778,72100
2009-01-09,1.2049624919891355,1.22242569991683,1.1787676800975944,1.183133482079518,10300
2009-01-12,1.2049624919891355,1.2049624919891355,1.1351095561894289,1.1351095561894289,43700
2009-01-13,1.331571340560913,1.3577661620329124,1.187499718375949,1.2049629326906153,31800
2009-01-14,1.3010108470916748,1.3446688872938202,1.2835476310108165,1.3446688872938202,13300
2009-01-15,1.2442549467086792,1.2486207495217678,1.1569388904469085,1.2486207495217678,8000
2009-01-16,1.266083836555481,1.2704496385813029,1.266083836555481,1.266083836555481,2500
2009-01-19,1.266083836555481,1.2704496385813029,1.266083836555481,1.266083836555481,13400
2009-01-20,1.2442549467086792,1.27044986767616,1.2224259326432363,1.2660840648630716,58300
2009-01-21,1.266083836555481,1.266083836555481,1.1831334939759366,1.266083836555481,404300
2009-01-22,1.41452157497406,1.41452157497406,1.2660841636573286,1.2660841636573286,1135100
2009-01-23,1.344668745994568,1.344668745994568,1.2748158890113492,1.3097423175029586,4600
2009-01-26,1.344668745994568,1.3970584928209493,1.344668745994568,1.344668745994568,4700
2009-01-27,1.266083836555481,1.3752289912899558,1.266083836555481,1.3752289912899558,1803900
2009-01-28,1.3664973974227903,1.3708631994811509,1.309741866575179,1.353399887158779,68700
2009-01-29,1.287913203239441,1.3534002517566577,1.287913203239441,1.3534002517566577,38600
2009-01-30,1.2922797203063965,1.375230131670838,1.226792531526255,1.226792531526255,248800
2009-02-02,1.344668745994568,1.3534003531174703,1.2791816925728006,1.2791816925728006,12900
2009-02-03,1.3664973974227903,1.4407160324149106,1.349034085100419,1.353399887158779,25400
2009-02-04,1.3926929235458374,1.4407167708006317,1.3141083421308255,1.4407167708006317,7800
2009-02-05,1.4363508224487305,1.4363508224487305,1.309742406476869,1.309742406476869,3600
2009-02-06,1.4407166242599487,1.4407166242599487,1.4363508204081208,1.4363508204081208,500
2009-02-09,1.4407166242599487,1.4407166242599487,1.4407166242599487,1.4407166242599487,800
2009-02-10,1.4363508224487305,1.5236670036983166,1.3534004450571748,1.4363508224487305,25900
2009-02-11,1.4363508224487305,1.4363508224487305,1.4363508224487305,1.4363508224487305,100
2009-02-12,1.397058606147766,1.4145218218101547,1.3752295865697806,1.3752295865697806,11300
2009-02-13,1.4276188611984253,1.4363504667521996,1.3184736876872982,1.4363504667521996,6300
2009-02-16,1.4232535362243652,1.4232535362243652,1.33593734728461,1.3970587107691337,392800
2009-02-17,1.397058606147766,1.418887625725752,1.3752295865697806,1.418887625725752,49500
2009-02-18,1.3534002304077148,1.418887381980877,1.3534002304077148,1.3970583661528089,23100
2009-02-19,1.418887495994568,1.418887495994568,1.3577661426756569,1.3577661426756569,12800
2009-02-20,1.3752291202545166,1.39705813243068,1.3534000039894127,1.3534000039894127,27200
2009-02-25,1.4276188611984253,1.4276188611984253,1.2660840543646528,1.3534001099023951,32400
2009-02-26,1.4101552963256836,1.4188868996889634,1.3621313737387222,1.397057891280764,38000
2009-02-27,1.397058606147766,1.397058606147766,1.314108227662445,1.314108227662445,27100
2009-03-02,1.397058606147766,1.397058606147766,1.3883269983165718,1.397058606147766,253400
2009-03-03,1.331571340560913,1.3752294804365466,1.3097423226675804,1.3359371441395798,33300
2009-03-04,1.3926929235458374,1.3926929235458374,1.353400580793839,1.3752297063622758,37500
2009-03-05,1.322839856147766,1.3534004840341036,1.322839856147766,1.3534004840341036,24600
2009-03-06,1.331571340560913,1.3534003584542458,1.331571340560913,1.3534003584542458,29200
2009-03-09,1.331571340560913,1.331571340560913,1.3097423226675804,1.3097423226675804,500
2009-03-10,1.3534002304077148,1.3926925629871951,1.3141080019171922,1.3534002304077148,28100
2009-03-11,1.331571340560913,1.3970584983298793,1.2660842868809148,1.349034554875579,118800
2009-03-12,1.397058606147766,1.397058606147766,1.3097424237468478,1.3097424237468478,21800
2009-03-13,1.3926929235458374,1.3926929235458374,1.3141083421308255,1.3141083421308255,800
2009-03-16,1.3752291202545166,1.4232529470420758,1.3577658064246454,1.3883265275602146,410900
2009-03-17,1.4014244079589844,1.41888762359515,1.3141082256891798,1.3534004608705528,61100
2009-03-18,1.3883264064788818,1.39705801058783,1.3184734695183642,1.349034083899683,173300
2009-03-19,1.397058606147766,1.418887625725752,1.3795953904853775,1.418887625725752,112500
2009-03-20,1.3926929235458374,1.4145219450252893,1.3446689722020582,1.3446689722020582,202100
2009-03-23,1.4581797122955322,1.4581797122955322,1.362131931856095,1.3926926602383922,215300
2009-03-24,1.418887495994568,1.4581797276423896,1.3839610678631709,1.4581797276423896,115400
2009-03-25,1.418887495994568,1.4625455311588142,1.388326871379595,1.397058478412445,121900
2009-03-26,1.4581797122955322,1.4581797122955322,1.397058463708868,1.397058463708868,47500
2009-03-27,1.4843744039535522,1.4843744039535522,1.4581794831579868,1.4581794831579868,18000
2009-03-30,1.506203532218933,1.506203532218933,1.5018377291030678,1.5018377291030678,7000
