Date,Close,High,Low,Open,Volume
2009-01-02,11.603185653686523,11.603185653686523,10.595040160047008,10.655909272639931,3486500
2009-01-05,12.234705924987791,12.641768476857004,11.298842569357708,11.412971999101838,3964900
2009-01-06,12.57328987121582,12.9917663600384,12.287965586159936,12.459160447440338,3890000
2009-01-07,11.793404579162598,12.402095847915916,11.793404579162598,12.249923756344815,2862600
2009-01-08,12.318401336669922,12.318401336669922,11.481449778766663,11.7325351010142,3974100
2009-01-09,12.116768836975098,12.592308483879728,11.797205648591186,12.177637220991484,4626400
2009-01-12,11.150470733642578,11.861879468193663,11.070580297335168,11.793401536720433,4473500
2009-01-13,11.451013565063477,11.743946640651908,10.842321676687428,11.451013565063477,3161100
2009-01-14,10.91840934753418,11.451014522278422,10.697758601185116,11.386340990126946,7442600
2009-01-15,11.203733444213867,11.317862863515057,10.496129012818464,10.952648141257528,5503700
2009-01-16,11.412970542907717,11.660251426213955,11.089602899068572,11.489057303440616,3080000
2009-01-19,11.287430763244627,11.523299200319292,11.146670438187323,11.500472730990662,913100
2009-01-20,10.789060592651367,11.39394802633972,10.789060592651367,11.127645117887056,3202800
2009-01-21,11.10482120513916,11.154277094509457,10.785257952788596,10.880366046330618,3044700
2009-01-22,11.120036125183104,11.333078738890649,10.747212639620466,11.21894861177224,4729100
2009-01-23,11.508079528808594,11.667861157902689,10.785258149808516,10.861344190661733,5435300
2009-01-26,11.724923133850098,11.983617208740682,11.451012144586722,11.481446698949318,3554500
2009-01-27,12.215681076049805,12.398288401280391,11.603184856353067,11.675467194696555,7086000
2009-01-28,12.911873817443848,13.04502601461226,12.421117174405014,12.4781811578478,6171000
2009-01-29,12.565679550170898,12.809156012170284,12.38307220367136,12.6683964546833,2833800
2009-01-30,12.36405086517334,12.816764820561534,12.24992145512627,12.253725139926358,3278900
2009-02-02,12.291768074035645,12.649373911804815,12.082529874710763,12.101551199368924,3642600
2009-02-03,12.900461196899414,12.923287660815204,12.367855315405166,12.447747213493296,6841200
2009-02-04,13.471109390258787,14.125453493487123,13.067850578765984,13.12491601148352,10570100
2009-02-05,14.056977272033691,14.205345673744082,13.463502213957709,13.539588983131717,9723700
2009-02-06,14.74175262451172,14.855882032003043,14.098822516364407,14.228169565183682,12458400
2009-02-09,14.304253578186035,15.106965945351938,14.114037432458913,14.72272996952612,6967600
2009-02-10,13.885784149169922,14.330889410235638,13.657525264197954,14.285237923488165,8058600
2009-02-11,13.497736930847168,14.224362517401556,13.32273843279896,13.980886093815537,4588900
2009-02-12,13.242855072021484,13.668939040726787,12.74448800375837,13.143941815121762,4379500
2009-02-13,13.843932151794434,13.866758613866088,13.448282183290718,13.699367461142277,2694100
2009-02-16,13.889581680297852,13.88958168029785,13.547193504558994,13.680344219918446,1421900
2009-02-17,12.97654914855957,13.429263173475809,12.938505038544925,13.410241844085688,6320500
2009-02-18,13.23904514312744,13.353174554892448,12.717853243618915,13.14774219420912,4669500
2009-02-19,13.322742462158203,13.680348386051042,13.181982884307269,13.467307176597604,1917900
