Date,Close,High,Low,Open,Volume
2009-01-02,5.016957759857178,5.023090710263242,4.743008130153541,4.757318867685494,17321600
2009-01-05,5.13144588470459,5.213221835509192,4.912695070075343,4.984248783317813,26454800
2009-01-06,5.203001022338867,5.2929543911390855,5.123269113256013,5.215267319913703,24252200
2009-01-07,4.998558044433594,5.1089554392021554,4.933136918345235,5.070111730886205,20606100
2009-01-08,5.213221073150635,5.213221073150635,4.873850634485708,4.978115102741332,23999000
2009-01-09,5.192778587341309,5.31135383260561,5.131446711836467,5.1723344988601765,18548600
2009-01-12,4.855452060699463,5.098735873134137,4.847274270058321,5.05784769980547,25552600
2009-01-13,4.896339416503906,5.043536114020866,4.726654188417157,4.773675306937212,25569300
2009-01-14,4.763455390930176,4.961762588151787,4.70621239786715,4.847275822148445,28355500
2009-01-15,4.927004337310791,4.927004337310791,4.603989135907059,4.77367432924057,33622200
2009-01-16,4.963805198669434,5.059891894263445,4.865673665578943,5.051714104031529,24634000
2009-01-19,4.87180757522583,5.000604666859699,4.835008294776569,4.976072073185889,12776500
2009-01-20,4.714387893676758,4.927005753135779,4.714387893676758,4.835007565881686,17539400
2009-01-21,4.959716796875,4.959716796875,4.745054461197676,4.745054461197676,21253600
2009-01-22,4.832962512969971,5.019002921722136,4.753231020630025,5.000603286576235,24899400
2009-01-23,4.8227410316467285,4.94131625048166,4.646922455811378,4.702121365425518,24059400
2009-01-26,4.865673542022705,4.965849520127361,4.75323165875865,4.804341676594764,24481100
2009-01-27,4.886116981506348,4.924960699111867,4.83705141765969,4.8677173463215455,18165100
2009-01-28,5.151889801025391,5.182555732829659,4.978115667549897,4.986293067393079,34169000
2009-01-29,5.117135047912598,5.160067275068226,5.051713898534022,5.0864687257288805,15592500
2009-01-30,5.117135047912598,5.272509546552056,5.059891688433276,5.070113535868858,22026000
2009-02-02,5.04762601852417,5.147801617562946,5.01082673929798,5.0190041402712815,18005800
2009-02-03,5.22957706451416,5.233665959569384,5.07011366680686,5.090557752144488,19850600
2009-02-04,5.254110336303711,5.429928544105922,5.225488459268245,5.288865166323657,33639500
2009-02-05,5.315440654754639,5.386994741556324,5.170288424045234,5.243886567952953,27091900
2009-02-06,5.54032564163208,5.57916936177767,5.3277077944546,5.376773361509757,30219700
2009-02-09,5.599612712860107,5.754987193993966,5.499437137511654,5.521925667262399,32278200
2009-02-10,5.530106067657471,5.754990317401069,5.499440122223946,5.683436184763744,32579800
2009-02-11,5.499436855316162,5.658900222756336,5.397216837968507,5.5341916768119015,26034600
2009-02-12,5.476950168609619,5.566903526966731,5.331797502727672,5.438106442537193,22932600
2009-02-13,5.6425461769104,5.679345452989187,5.519882053293946,5.648679129631199,21869000
2009-02-16,5.707967758178711,5.707967758178711,5.560771022673409,5.601658809788938,16031700
2009-02-17,5.397218704223633,5.5607710224962,5.384952407083221,5.51988284544342,24653600
2009-02-18,5.292952060699463,5.511702822506435,5.219353917716488,5.4626372638716525,29150400
2009-02-19,5.376771926879883,5.442193055436229,5.325661926092286,5.356328238515532,20579500
2009-02-20,5.270465850830078,5.331797724068614,5.158023563308044,5.223444332079425,24735200
2009-02-25,5.366552829742432,5.47490622725416,5.172334571357281,5.172334571357281,17005100
2009-02-26,5.421750068664551,5.581213053665107,5.421750068664551,5.478993031510519,21992200
2009-02-27,5.397218704223633,5.589392512470014,5.266377161556423,5.315442740056627,28490800
2009-03-02,5.115091323852539,5.366552549740861,5.090558340623623,5.305220676576382,27208200
2009-03-03,5.070114135742188,5.213222356403177,4.957672240893218,5.203000507758191,29979500
2009-03-04,5.391085624694824,5.442195649847667,5.243888502693968,5.29499852784681,38319300
