"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORGAO_PADRONIZADO_ID","ORG_PADR_ID_OU"
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,20301,CNEN,COMISSAO NACIONAL DE ENERGIA NUCLEAR,SIAFI,368,ATIVO,223,42,23
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,40301,CNEN,COMISSAO NACIONAL DE ENERGIA NUCLEAR,SIAPE,212,NÃO INFORMADO,223,42,23
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",110,AEB,AGÊNCIA ESPACIAL BRASILEIRA,21300,AEB,AGENCIA ESPACIAL BRASILEIRA,SIAPE,283,NÃO INFORMADO,4243,85,110
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",40108,MCTIC,MINISTERIO DA CIENCIA E TECNOLOGIA,SIAPE,75,NÃO INFORMADO,267175,251,190
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",4,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,40501,CNPQ,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,SIAPE,377,NÃO INFORMADO,8,105,4
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,23,CNEN,Comissão Nacional de Energia Nuclear,SIORG,176,ATIVO,223,,23
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",4,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,4,CNPQ,Conselho Nacional de Desenvolvimento Científico e Tecnológico,SIORG,179,ATIVO,8,,4
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"Ministério da Ciência, Tecnologia e Inovação",SIORG,172,ATIVO,267175,,190
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",110,AEB,AGÊNCIA ESPACIAL BRASILEIRA,110,AEB,Agência Espacial Brasileira,SIORG,30,ATIVO,4243,,110
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,40115,MD,MINISTERIO DA DEFESA,SIAPE,575,,41066,,138
138,MD,MINISTÉRIO DA DEFESA,163,COMAER,COMANDO DA AERONÁUTICA,21000,C.AER,MINISTERIO DA AERONAUTICA,SIAPE,430,NÃO INFORMADO,48,123,163
138,MD,MINISTÉRIO DA DEFESA,164,C EX,COMANDO DO EXÉRCITO,16000,C.EX,MINISTERIO DO EXERCITO,SIAPE,496,NÃO INFORMADO,94,123,164
138,MD,MINISTÉRIO DA DEFESA,165,MB,COMANDO DA MARINHA,70000,CM,MINISTERIO DA MARINHA,SIAPE,521,NÃO INFORMADO,185,123,165
138,MD,MINISTÉRIO DA DEFESA,90,CFIAE,CAIXA DE FINANCIAMENTO IMOBILIÁRIO DA AERONÁUTICA,21201,CFIA,CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA,SIAPE,334,NÃO INFORMADO,930,50,90
138,MD,MINISTÉRIO DA DEFESA,112,FOSORIO,FUNDAÇÃO OSÓRIO,16100,F OSORIO,FUNDACAO OSORIO,SIAPE,277,NÃO INFORMADO,8406,27,112
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,40105,MD,MINISTERIO DA DEFESA,SIAPE,2,,888887,,138
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,138,MD,Ministério da Defesa,SIORG,250,ATIVO,41066,,138
138,MD,MINISTÉRIO DA DEFESA,112,FOSORIO,FUNDAÇÃO OSÓRIO,112,FOSORIO,Fundação Osório,SIORG,19,ATIVO,8406,,112
138,MD,MINISTÉRIO DA DEFESA,165,MB,COMANDO DA MARINHA,165,MB,Comando da Marinha,SIORG,216,ATIVO,185,,165
138,MD,MINISTÉRIO DA DEFESA,164,C EX,COMANDO DO EXÉRCITO,164,C EX,Comando do Exército,SIORG,18,ATIVO,94,,164
138,MD,MINISTÉRIO DA DEFESA,163,COMAER,COMANDO DA AERONÁUTICA,163,COMAER,Comando da Aeronáutica,SIORG,28,ATIVO,48,,163
138,MD,MINISTÉRIO DA DEFESA,90,CFIAE,CAIXA DE FINANCIAMENTO IMOBILIÁRIO DA AERONÁUTICA,90,CFIAE,Caixa de Financiamento Imobiliário da Aeronáutica,SIORG,29,ATIVO,930,,90
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,22201,INCRA,INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA,SIAFI,529,ATIVO,1799,51,92
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,49000,MDA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,SIAFI,363,ATIVO,17125,281,192
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,13100,MDA,MIN DO DESENV AGR E AGRIC FAMILIAR,SIAPE,547,,308794,,192
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,42201,INCRA,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,SIAPE,379,NÃO INFORMADO,1799,51,92
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,Ministério do Desenvolvimento Agrário e Agricultura Familiar,SIORG,234,ATIVO,308794,,192
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,92,INCRA,Instituto Nacional de Colonização e Reforma Agrária,SIORG,191,ATIVO,1799,,92
203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,81100,MDHC,MIN DOS DIR HUM E DA CIDADANIA,SIAPE,568,,308816,,203
203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,Ministério dos Direitos Humanos e da Cidadania,SIORG,247,ATIVO,308816,,203
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",31,INPI,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,30204,INPI,INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL,SIAFI,280,ATIVO,382,112,31
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",9,INMETRO,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",30203,INMETRO,INSTIT.NAC. DE METROLOG. QUALID. E TECNOLOGIA,SIAFI,349,ATIVO,240,240,9
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",19,SUFRAMA,SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,20603,SUFRAMA,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,SIAFI,553,ATIVO,166,138,19
