ticker;quantidade;paguei;investi;data;ticker;quantidade;paguei;investi;data;val_hoje;val_tot_hoje;val_max;lucro_na_maxima;dt_max;val_min;dt_min;media_ano;media;lucro/prej;valor_menos_inv
RAIL3.SA;57;1,55;1590;1/1/2021;RAIL3.SA;57;1,55;1590;1/1/2021;21.8700008392334;1246.5900478363037;24.09000015258789;-216.86999130249023;2023-07-25;14.802969932556152;2022-02-07;19.26317018667857;18.98490466986002;-343.4099521636963;-343.4099521636963
B3SA3.SA;1000;11,80;11800;14/5/2015;B3SA3.SA;1000;11,80;11800;14/5/2015;12.539999961853027;12539.999961853027;19.631011962890625;7831.011962890625;2020-07-20;2.4718401432037354;2015-08-07;12.512207182248433;9.59611458550439;739.9999618530273;739.9999618530273
CSUD3.SA;3000;8,60;25800;14/5/2015;CSUD3.SA;3000;8,60;25800;14/5/2015;16.1200008392334;48360.002517700195;22.80531883239746;42615.95649719238;2021-05-06;1.598393440246582;2015-08-25;12.103942407502068;8.34994193328745;22560.002517700195;22560.002517700195
CMIG4.SA;1418;28,50;40413;14/5/2015;CMIG4.SA;1418;28,50;40413;14/5/2015;12.109999656677246;17171.979513168335;12.859999656677246;-22177.520486831665;2023-06-30;1.5330356359481812;2016-01-19;10.841347861289979;5.855110676607494;-23241.020486831665;-23241.020486831665
ENBR3.SA;1200;31,71;38052;14/5/2015;ENBR3.SA;1200;31,71;38052;14/5/2015;24.079999923706055;28895.999908447266;24.799999237060547;-8292.000915527344;2023-07-21;23.770000457763672;2023-07-17;;23.98923088954045;-9156.000091552734;-9156.000091552734
PETR4.SA;250;37,00;9250;14/5/2015;PETR4.SA;250;37,00;9250;14/5/2015;33.52000045776367;8380.000114440918;33.52000045776367;-869.999885559082;2023-09-06;1.4892096519470215;2016-01-26;21.618922726313272;9.979527774149528;-869.999885559082;-869.999885559082
SHUL4.SA;1400;16,50;23100;14/5/2015;SHUL4.SA;1400;16,50;23100;14/5/2015;7.440000057220459;10416.000080108643;7.699999809265137;-12320.000267028809;2023-08-23;0.31718870997428894;2016-03-16;4.8080089535978106;2.2157621578367825;-12683.999919891357;-12683.999919891357
VALE3.SA;100;46,00;4600;26/1/2019;VALE3.SA;100;46,00;4600;26/1/2019;67.98999786376953;6798.999786376953;93.0857925415039;4708.579254150391;2023-01-26;24.11406898498535;2020-03-23;72.19958828820123;58.75405656502222;2198.999786376953;2198.999786376953
