"ORG_SUPER_BUSCA","ORG_SUPER_PADR_NOME","ORG_PADR_BUSCA","ORG_PADR_NOME","ORG_PADR_SIGLA","ORG_PADR_CODIGO","ORG_UNIF_BUSCA","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORG_PADR_ID","ORGAO_UNIFICADO_DT_ATUALIZACAO"
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",MCTI,267175,"Ministério da Ciência, Tecnologia e Inovação [MCTI] [190] [SIORG]",172,SIORG,190,"Ministério da Ciência, Tecnologia e Inovação",MCTI,ATIVO,267175,190,2025-02-04 17:00:00.017
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",COMISSÃO NACIONAL DE ENERGIA NUCLEAR [CNEN] [223],COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,223,Comissão Nacional de Energia Nuclear [CNEN] [23] [SIORG],176,SIORG,23,Comissão Nacional de Energia Nuclear,CNEN,ATIVO,223,23,2025-02-04 17:00:01.000
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO [CNPQ] [8],CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,8,Conselho Nacional de Desenvolvimento Científico e Tecnológico [CNPQ] [4] [SIORG],179,SIORG,4,Conselho Nacional de Desenvolvimento Científico e Tecnológico,CNPQ,ATIVO,8,4,2025-02-04 17:00:01.780
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO [CNPQ] [8],CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,8,CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO [CNPQ] [20501] [SIAFI],433,SIAFI,20501,CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO,CNPQ,ATIVO,8,4,2020-08-10 19:22:48.540
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",MCTI,267175,"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÕES [MCTI] [24000] [SIAFI]",319,SIAFI,24000,"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÕES",MCTI,ATIVO,1988,190,2020-08-10 19:22:48.540
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",AGÊNCIA ESPACIAL BRASILEIRA [AEB] [4243],AGÊNCIA ESPACIAL BRASILEIRA,AEB,4243,AGENCIA ESPACIAL BRASILEIRA - AEB [AEB] [20402] [SIAFI],317,SIAFI,20402,AGENCIA ESPACIAL BRASILEIRA - AEB,AEB,ATIVO,4243,110,2020-08-10 19:22:48.540
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",AGÊNCIA ESPACIAL BRASILEIRA [AEB] [4243],AGÊNCIA ESPACIAL BRASILEIRA,AEB,4243,Agência Espacial Brasileira [AEB] [110] [SIORG],30,SIORG,110,Agência Espacial Brasileira,AEB,ATIVO,4243,110,2025-02-04 16:59:23.303
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO [CNPQ] [8],CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,8,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO [CNPQ] [40501] [SIAPE],377,SIAPE,40501,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,CNPQ,NÃO INFORMADO,8,4,2018-10-18 18:35:11.517
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",MCTI,267175,MINISTERIO DA CIENCIA E TECNOLOGIA [MCTIC] [40108] [SIAPE],75,SIAPE,40108,MINISTERIO DA CIENCIA E TECNOLOGIA,MCTIC,NÃO INFORMADO,267175,190,2022-04-07 16:53:46.053
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO [MCTI] [267175]","MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",COMISSÃO NACIONAL DE ENERGIA NUCLEAR [CNEN] [223],COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,223,COMISSAO NACIONAL DE ENERGIA NUCLEAR [CNEN] [20301] [SIAFI],368,SIAFI,20301,COMISSAO NACIONAL DE ENERGIA NUCLEAR,CNEN,ATIVO,223,23,2020-08-10 19:22:48.540
