"ORG_SUPER_BUSCA","ORG_SUPER_PADR_NOME","ORG_PADR_BUSCA","ORG_PADR_NOME","ORG_PADR_SIGLA","ORG_PADR_CODIGO","ORG_UNIF_BUSCA","ORGAO_UNIFICADO_ID","ORGAO_UNIFICADO_FONTE","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_SITUACAO","ORGAO_UNIFICADO_COD_SIORG_ORIGEM","ORG_PADR_ID","ORGAO_UNIFICADO_DT_ATUALIZACAO"
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO [IFES] [100912]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,100912,IFES [IFES] [26406] [SIAPE],509,SIAPE,26406,IFES,IFES,NÃO INFORMADO,100912,131,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR [CAPES] [250],FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,250,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR [CAPES] [26291] [SIAFI],510,SIAFI,26291,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,CAPES,ATIVO,250,12,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS [IFNMG] [100901]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,100901,IFNORTEMG [IFNORTEMG] [26410] [SIAPE],511,SIAPE,26410,IFNORTEMG,IFNORTEMG,NÃO INFORMADO,100901,125,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA [IFRO] [100907]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,100907,IFRO [IFRO] [26421] [SIAPE],512,SIAPE,26421,IFRO,IFRO,NÃO INFORMADO,100907,141,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE [IFS] [100909]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,100909,IFSE [IFSE] [26423] [SIAPE],513,SIAPE,26423,IFSE,IFSE,NÃO INFORMADO,100909,115,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS [IFTO] [100908]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,100908,IFTO [IFTO] [26424] [SIAPE],514,SIAPE,26424,IFTO,IFTO,NÃO INFORMADO,100908,130,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ [UFOPA] [104667],UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,104667,UNIVERSIDADE FEDERAL DO OESTE DO PARA [UFOPA] [26441] [SIAFI],515,SIAFI,26441,UNIVERSIDADE FEDERAL DO OESTE DO PARA,UFOPA,ATIVO,104667,153,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA [IFRR] [3561]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,3561,IFRR [IFRR] [26437] [SIAPE],516,SIAPE,26437,IFRR,IFRR,NÃO INFORMADO,3561,109,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ [UFOPA] [104667],UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,104667,UFOPA [UFOPA] [26441] [SIAPE],518,SIAPE,26441,UFOPA,UFOPA,NÃO INFORMADO,104667,153,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE JATAÍ [UFJ] [226372],UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,226372,UNIVERSIDADE FEDERAL DE JATAÍ [UFJ] [26453] [SIAPE],525,SIAPE,26453,UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,ATIVO,226372,183,2022-04-13 11:21:10.440
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO [UFES] [425],UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,425,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO [UFES] [26234] [SIAFI],532,SIAFI,26234,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,UFES,ATIVO,425,42,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO PARÁ [UFPA] [415],UNIVERSIDADE FEDERAL DO PARÁ,UFPA,415,UNIVERSIDADE FEDERAL DO PARA [UFPA] [26239] [SIAFI],535,SIAFI,26239,UNIVERSIDADE FEDERAL DO PARA,UFPA,ATIVO,415,32,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE SANTA MARIA [UFSM] [431],UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,431,UNIVERSIDADE FEDERAL DE SANTA MARIA [UFSM] [26247] [SIAFI],536,SIAFI,26247,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,ATIVO,431,48,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO [UFRRJ] [432],UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,432,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO [UFRRJ] [26249] [SIAFI],537,SIAFI,26249,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,ATIVO,432,49,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA [UFRR] [1605],FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,1605,UNIVERSIDADE FEDERAL DE RORAIMA [UFRR] [26250] [SIAFI],538,SIAFI,26250,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,ATIVO,1605,101,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE [UFCG] [67671],UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,67671,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE [UFCG] [26252] [SIAFI],539,SIAFI,26252,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,ATIVO,67671,166,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE ITAJUBÁ [UNIFEI] [462],UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,462,UNIVERSIDADE FEDERAL DE ITAJUBA [UNIFEI] [26261] [SIAFI],540,SIAFI,26261,UNIVERSIDADE FEDERAL DE ITAJUBA,UNIFEI,ATIVO,462,66,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO [UNIRIO] [260],UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,260,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO [UNIRIO] [26269] [SIAFI],541,SIAFI,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,UNIRIO,ATIVO,260,16,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO [FNDE] [253],FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,253,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO [FNDE] [26298] [SIAFI],543,SIAFI,26298,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FNDE,ATIVO,253,13,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA [UFRB] [84710],UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,84710,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA [UFRB] [26351] [SIAFI],544,SIAFI,26351,UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA,UFRB,ATIVO,84710,100,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO [UFAPE] [227868],UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,227868,UNIVER. FEDERAL DO AGRESTE DE PERNAMBUCO [UFAPE] [26456] [SIAPE],554,SIAPE,26456,UNIVER. FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,,227868,186,2025-02-05 20:41:33.893
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE CATALÃO [UFCAT] [226371],UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,226371,UNIVERSIDADE FEDERAL DE CATALAO [UFCAT] [26452] [SIAPE],557,SIAPE,26452,UNIVERSIDADE FEDERAL DE CATALAO,UFCAT,,226371,182,2025-02-05 20:41:33.893
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE JUIZ DE FORA [UFJF] [424],UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,424,UNIVERSIDADE FEDERAL DE JUIZ DE FORA [UFJF] [26237] [SIAFI],559,SIAFI,26237,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,ATIVO,424,41,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE PERNAMBUCO [UFPE] [418],UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,418,UNIVERSIDADE FEDERAL DE PERNAMBUCO [UFPE] [26242] [SIAFI],561,SIAFI,26242,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,ATIVO,418,35,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE [UFRN] [417],UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,417,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE [UFRN] [26243] [SIAFI],562,SIAFI,26243,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,ATIVO,417,34,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ [UTFPR] [454],UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,454,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA [UTFPR] [26258] [SIAFI],563,SIAFI,26258,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,UTFPR,ATIVO,454,58,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS [UFNT] [241361],UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS,UFNT,241361,UNIVERSIDADE FEDERAL NORTE DO TOCANTINS [UFNT] [26457] [SIAPE],565,SIAPE,26457,UNIVERSIDADE FEDERAL NORTE DO TOCANTINS,UFNT,,241361,188,2025-02-05 20:41:33.893
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE [UFCSPA] [970],FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,970,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE [UFCSPA] [26284] [SIAFI],567,SIAFI,26284,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,UFCSPA,ATIVO,970,86,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO [IF BAIANO] [100920]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,100920,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO [IF BAIANO] [26404] [SIAFI]",569,SIAFI,26404,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",IF BAIANO,ATIVO,100920,133,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,MEC,244,Instituto Benjamin Constant [IBC] [26105] [SIAPE],576,SIAPE,26105,Instituto Benjamin Constant,IBC,ATIVO,251,10,2025-02-04 16:59:25.813
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO PARÁ [UFPA] [415],UNIVERSIDADE FEDERAL DO PARÁ,UFPA,415,UNIVERSIDADE FEDERAL DO PARA [UFPA] [26239] [SIAPE],389,SIAPE,26239,UNIVERSIDADE FEDERAL DO PARA,UFPA,NÃO INFORMADO,415,32,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO PARANÁ [UFPR] [428],UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,428,UNIVERSIDADE FEDERAL DO PARANA [UFPR] [26241] [SIAPE],390,SIAPE,26241,UNIVERSIDADE FEDERAL DO PARANA,UFPR,NÃO INFORMADO,428,45,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL [UFRGS] [430],UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,430,UNIVERSIDADE FED. DO RIO GRANDE DO SUL [UFRGS/RS] [26244] [SIAPE],391,SIAPE,26244,UNIVERSIDADE FED. DO RIO GRANDE DO SUL,UFRGS/RS,NÃO INFORMADO,430,47,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA [UFRR] [1605],FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,1605,UNIVERSIDADE FEDERAL DE RORAIMA [UFRR] [26250] [SIAPE],392,SIAPE,26250,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,NÃO INFORMADO,1605,101,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO [UFERSA-RN] [458],UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,458,ESCOLA SUP. DE AGRICULTURA DE MOSSORO [UFERSA-RN] [26264] [SIAPE],393,SIAPE,26264,ESCOLA SUP. DE AGRICULTURA DE MOSSORO,UFERSA-RN,NÃO INFORMADO,458,62,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE UBERLÂNDIA [UFU] [472],UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,472,FUNDACAO UNIV. FEDERAL DE UBERLANDIA [UFU] [26274] [SIAPE],394,SIAPE,26274,FUNDACAO UNIV. FEDERAL DE UBERLANDIA,UFU,NÃO INFORMADO,472,76,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ [UNIFAP] [1710],FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,1710,FUNDACAO UNVERSIDADE FEDERAL DO AMAPA [UNIFAP] [26286] [SIAPE],396,SIAPE,26286,FUNDACAO UNVERSIDADE FEDERAL DO AMAPA,UNIFAP,NÃO INFORMADO,1710,102,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO JOAQUIM NABUCO [FUNDAJ] [257],FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,257,FUNDACAO JOAQUIM NABUCO [FJN] [26292] [SIAPE],399,SIAPE,26292,FUNDACAO JOAQUIM NABUCO,FJN,NÃO INFORMADO,257,15,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA [IFPB] [100905]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA",IFPB,100905,IFPB [IFPB] [26417] [SIAPE],400,SIAPE,26417,IFPB,IFPB,NÃO INFORMADO,100905,139,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL [IFRS] [100918]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,100918,IFRS [IFRS] [26419] [SIAPE],401,SIAPE,26419,IFRS,IFRS,NÃO INFORMADO,100918,146,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ [IFAP] [94428]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,94428,IFAP [IFAP] [26426] [SIAPE],402,SIAPE,26426,IFAP,IFAP,NÃO INFORMADO,94428,168,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DA PARAÍBA [UFPB] [419],UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,419,UNIVERSIDADE FEDERAL DA PARAIBA [UFPB] [26240] [SIAFI],403,SIAFI,26240,UNIVERSIDADE FEDERAL DA PARAIBA,UFPB,ATIVO,419,36,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO [IFSP] [453]","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,453,IFSP [IFSP] [26439] [SIAPE],404,SIAPE,26439,IFSP,IFSP,NÃO INFORMADO,453,57,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL [UFFS] [103730],UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,103730,UFFS [UFFS] [26440] [SIAPE],405,SIAPE,26440,UFFS,UFFS,NÃO INFORMADO,103730,175,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS [UFT] [52702],FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,52702,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS [UFT] [26251] [SIAFI],406,SIAFI,26251,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,ATIVO,52702,149,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA [UFRA] [457],UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,457,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA [UFRA] [26253] [SIAFI],407,SIAFI,26253,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,UFRA,ATIVO,457,61,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA [UNILAB] [109912],UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,109912,UNILAB [UNILAB] [26442] [SIAPE],408,SIAPE,26442,UNILAB,UNILAB,NÃO INFORMADO,109912,179,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DO SUL DA BAHIA [UFSB] [122378],UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFSB,122378,UFESBA [UFESBA] [26450] [SIAPE],409,SIAPE,26450,UFESBA,UFESBA,NÃO INFORMADO,122378,171,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL [UFFS] [103730],UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,103730,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL [UFFS] [26440] [SIAFI],416,SIAFI,26440,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,ATIVO,103730,175,2020-08-10 19:22:48.540
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,Instituto Nacional de Educação de Surdos [INES] [252],Instituto Nacional de Educação de Surdos,INES,252,INSTITUTO NACIONAL DE EDUCACAO DE SURDOS [INES] [26104] [SIAPE],420,SIAPE,26104,INSTITUTO NACIONAL DE EDUCACAO DE SURDOS,INES,NÃO INFORMADO,252,211,2020-02-05 14:24:01.580
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA [INEP] [249],INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,249,INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS [INEP] [26107] [SIAPE],422,SIAPE,26107,INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS,INEP,NÃO INFORMADO,249,11,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE GOIÁS [UFG] [422],UNIVERSIDADE FEDERAL DE GOIÁS,UFG,422,UNIVERSIDADE FEDERAL DE GOIAS [UFGO] [26235] [SIAPE],423,SIAPE,26235,UNIVERSIDADE FEDERAL DE GOIAS,UFGO,NÃO INFORMADO,422,39,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE [UFCG] [67671],UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,67671,UFCG [UFCG] [26252] [SIAPE],424,SIAPE,26252,UFCG,UFCG,NÃO INFORMADO,67671,166,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA [UFRA] [457],UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,457,FACULDADE DE CIENCIAS AGRARIA DO PARA [UFRA] [26253] [SIAPE],425,SIAPE,26253,FACULDADE DE CIENCIAS AGRARIA DO PARA,UFRA,NÃO INFORMADO,457,61,2018-10-18 18:35:11.517
MINISTÉRIO DA EDUCAÇÃO [MEC] [244],MINISTÉRIO DA EDUCAÇÃO,UNIVERSIDADE FEDERAL FLUMINENSE [UFF] [427],UNIVERSIDADE FEDERAL FLUMINENSE,UFF,427,UNIVERSIDADE FEDERAL FLUMINENSE [UFF] [26236] [SIAPE],436,SIAPE,26236,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,NÃO INFORMADO,427,44,2018-10-18 18:35:11.517
